,제품명,브랜드,가격,상품정보,썸네일
35,피지오겔 레드수딩 AI 라이트 크림 50ml,피지오겔,"32,000","['내용물의 용량 또는 중량 50ml', '제품 주요 사양 모든피부용', '사용기한(또는 개봉 후 사용기간) 제조일로부터 36개월', '사용방법 적당량을 취하여 피부에 마사지 하듯 두드려 흡수시켜 줍니다.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 (주)엘지생활건강', '제조국 대한민국', '화장품법에 따라 기재해야 하는 모든 성분 정제수, 펜틸렌글라이콜, 글리세린, 카프릴릭/카프릭트라이글리세라이드, 나이아신아마이드, 시어버터, 베헤닐알코올, 판테놀, 스쿠알란, 세틸알코올, 하이드로제네이티드레시틴, 베헤닉애씨드, 아이소스테아릴아이소스테아레이트, 카프릴릴글라이콜, 폴리아크릴레이트크로스폴리머-6, 팔미타마이드엠이에이, 소듐카보머, 아세타마이드엠이에이, 소듐하이알루로네이트, 판토락톤, 사코신, T-부틸알코올, 세라마이드엔피', '기능성 화장품 식품의약품안전처 심사필 여부 해당사항 없음', '사용할 때의 주의사항 1) 화장품 사용 시 또는', '사용 후 직사광선에 의하에 사용부위가 붉은', '반점, 부어오름 또는 가려움 등의 이상 증상', '이나 부작용이 있음 경유 전문의 뜸과 상담할', '것 2) 성체가 사는 부위 등에는 사용을 자제할', '것 3) 보관 및 취급 시의 주의사항 가) 어린이', '의 손이 많지 않는 곳에 보관할 것 나) 직사.', '광선을 피해서 보관할 것', '품질보증기준 본제품은 공정거래위원회 고시에 의거 보상받을수 있습니다.', '소비자상담 전화번호 080-023-7007']","['./prdimgs/page_15_prd_11_thumb1.jpg', './prdimgs/page_15_prd_11_thumb2.jpg']"
36,앰플엔 센텔카밍샷 시카진정앰플 100ml,앰플엔,"23,900","['내용물의 용량 또는 중량 100ml', '제품 주요 사양 모든 피부용', '사용기한(또는 개봉 후 사용기간) 제조일로부터 36개월, 개봉후 12개월', '사용방법 토너 다음 단계에서 적당량을 덜어 얼굴 전체에 마사지하듯 펴 발라 줍니다.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 제조업자:㈜코리아나화장품, 책임판매업자:㈜코리아나화장품', '제조국 대한민국', '화장품법에 따라 기재해야 하는 모든 성분 정제수, 부틸렌글라이콜, 글리세린, 폴리글리세린-3, 1,2-헥산다이올, 베타-글루칸, 다이프로필렌글라이콜, 녹두씨추출물, 마트리카리아꽃추출물, 병풀캘러스배양액, 병풀추출물, 스페인감초뿌리추출물, 알란토인, 마데카소사이드, 돌콩싹추출물, 다이포타슘글리시리제이트, 알지닌, 소듐하이알루로네이트, 하이알루로닉애씨드, 오죽즙, 소리쟁이뿌리추출물, 만주자작나무수액, 겨우살이추출물, 옥틸도데세스-16, 폴리쿼터늄-51, 암모늄아크릴로일다이메틸타우레이트/브이피코폴 리머, 카프릴릭/카프릭트라이글리세라이드, 시트릭애씨드, 다이소듐이디티에이 * 병풀줄기세포(캘러스)배양액 2,500ppm', '기능성 화장품 식품의약품안전처 심사필 여부 해당사항 없음', '사용할 때의 주의사항 가. 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우에는 전문의 등과 상담할 것', '나. 상처가 있는 부위 등에는 사용을 자제할 것', '다. 보관 및 취급 시 주의사항', '1) 어린이의 손이 닿지 않는 곳에 보관할 것', '2) 직사광선을 피해서 보관할 것', ""품질보증기준 본 제품에 이상이 있을 경우, 공정거래위원회 고시 '소비자분쟁해결기준'에 의거 보상해 드립니다."", '소비자상담 전화번호 080-022-5013']","['./prdimgs/page_15_prd_12_thumb1.jpg', './prdimgs/page_15_prd_12_thumb2.jpg', './prdimgs/page_15_prd_12_thumb3.jpg', './prdimgs/page_15_prd_12_thumb4.jpg']"
37,앰플엔 펩타이드샷 모공탄력앰플 100ml,앰플엔,"23,900","['내용물의 용량 또는 중량 100ml', '제품 주요 사양 모든 피부용', '사용기한(또는 개봉 후 사용기간) 제조일로부터 36개월, 개봉후 12개월', '사용방법 토너 다음 단계에서 적당량을 덜어 얼굴 전체에 마사지하듯 펴 발라 줍니다.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 제조업자:㈜코리아나화장품, 책임판매업자:㈜코리아나화장품', '제조국 대한민국', '화장품법에 따라 기재해야 하는 모든 성분 정제수, 글리세린, 부틸렌글라이콜, 다이프로필렌글라이콜, 1,2-헥산다이올, 나이아신아마이드, 폴리글리세린-3, 아데노신, 베타-글루칸, 알지닌, 다이포타슘글리시리제이트, 소듐하이알루로네이트, 예덕나무피추출물, 효모추출물, 옐로우체이스트위드추출물, 카퍼트라이펩타이드-1, 아세틸테트라펩타이드-2, 카보머, 덱스트란, 하이드록시에틸셀룰로오스, 카라멜, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 트라이플루오로아세틸트라이펩타이드-2, 잔탄검, 보론나이트라이드, 피브이엠/엠에이코폴리머, 아가, 젤란검, 칼슘알지네이트, 카프릴릴글라이콜, 글루코실루틴, 팔미토일트라이펩타이드-5, 테트라데실아미노부티로일발릴아미노부티릭우레아트라이플루오로아세테이트, 마그네슘클로라이드, 다이소듐이디티에이, 펩타이드201.1ppm', '기능성 화장품 식품의약품안전처 심사필 여부 화장품법에 따른 기능성 화장품 심사(또는 보고)를 필함', '사용할 때의 주의사항 가. 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우에는 전문의 등과 상담할 것', '나. 상처가 있는 부위 등에는 사용을 자제할 것', '다. 보관 및 취급 시 주의사항', '1) 어린이의 손이 닿지 않는 곳에 보관할 것', '2) 직사광선을 피해서 보관할 것', ""품질보증기준 본 제품에 이상이 있을 경우, 공정거래위원회 고시 '소비자분쟁해결기준'에 의거 보상해 드립니다."", '소비자상담 전화번호 080-022-5013']","['./prdimgs/page_15_prd_13_thumb1.jpg', './prdimgs/page_15_prd_13_thumb2.jpg', './prdimgs/page_15_prd_13_thumb3.jpg', './prdimgs/page_15_prd_13_thumb4.jpg']"
38,더마픽스 리얼 콜라겐 텐션업 멀티스틱밤,더마픽스,"20,000","['내용물의 용량 또는 중량 3g', '제품 주요 사양 멀티스틱밤', '사용기한(또는 개봉 후 사용기간) 1,095일', '사용방법 ""건조한 부위에 수시로 발라주세요. 제형 특성상 45도씨 이상의 고온에서 내용물이 흐를 수 있으며', '스웨팅(물방울같이 맺히는 현상)이 발생할 수 있으나 내용물에는 이상이 없습니다.', '해당 제품의 경우 식물성 오일이 함유되어 변취 혹은 변색이 있을 수 있습니다.""', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 코스맥스(주)', '제조국 대한민국', '화장품법에 따라 기재해야 하는 모든 성분 """"""해바라기씨오일(619,599ppm),비즈왁스,사과씨오일,시어버터(50,000ppm),스위트아몬드오일,', '옥틸도데칸올,하이드롤라이즈드콜라겐(0.001993ppm),토코페롤,아데노신,부틸렌글라이콜,글리세린,솔비', '탄라우레이트,글라이신,세린,글루타믹애씨드,하이드록시에틸셀룰로오스,아세틸다이펩타이드-1세틸에스', '터,아스파틱애씨드,류신,팔미토일트라이펩타이드-5,알라닌,라이신,알지닌,타이로신,페닐알라닌,프롤린,트', '레오닌,발린,아이소류신,히스티딘,시스테인,메티오닌,에틸헥실글리세린,페녹시에탄올,향료,리모넨,부틸페', '닐메칠프로피오날,시트로넬롤,알파-이소메칠이오논,벤질벤조에이트,리날룰,제라니올""""""', '기능성 화장품 식품의약품안전처 심사필 여부 화장품법에 따른 기능성 화장품 심사(또는 보고)를 필함', '사용할 때의 주의사항 1) 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의 등과 상담할 것 2) 상처가 있는 부위 등에는 사용을 자제할 것 3)보관 및 취급 시의 주의사항 가)어린이의 손이 닿지 않는 곳에 보관할 것 나) 직사광선을 피해서 보관할 것', '품질보증기준 본 제품에 이상이 있을 경우 공정거래위원회 고시 ""소비자 분쟁해결기준""에 의거하여 보상해드립니다.', '소비자상담 전화번호 1522-1875']",['./prdimgs/page_15_prd_14_thumb1.jpg']
39,코스알엑스 퓨어 핏 시카 세럼 55ml,코스알엑스,"29,000","['내용물의 용량 또는 중량 55ml', '제품 주요 사양 모든 피부 사용', '사용기한(또는 개봉 후 사용기간) 제조일로부터 36개월', '사용방법 에센스 또는 세럼 단계에서 피부에 골고루 펴 발라 가볍게 두드려 흡수시켜 줍니다.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 제조업자:㈜한국시능성화장품연구센터 / 책임판매업자:㈜코스알엑스', '제조국 대한민국', '화장품법에 따라 기재해야 하는 모든 성분 병풀추출물, 병풀잎추출물, 병풀뿌리추출물, 부틸렌글라이콜, 글리세린, 1,2-헥산다이올, 베타인, 판테놀, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 폴리글리세릴-10라우레이트, 폴리글리세릴-10미리스테이트, 소듐하이알루로네이트, 알란토인, 에틸헥실글리세린, 잔탄검, 정제수, 프랑스해안송껍질추출물, 아시아티코사이드, 아시아틱애씨드, 마데카식애씨드, 마데카소사이드', '기능성 화장품 식품의약품안전처 심사필 여부 해당사항 없음', '사용할 때의 주의사항 1. 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점,부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의 등과 상담할 것', '2. 상처가 있는 부위 등에는 사용을 자제할 것', '3. 보관 및 취급시의 주의사항', '가) 어린이의 손이 닿지 않는 곳에 보관할 것', '나) 직사광선을 피해서 보관할 것', '품질보증기준 공정거래위원회 고시(소비자분쟁해결기준)에 의거하여 보상해 드립니다.', '소비자상담 전화번호 고객서비스센터 031-714-9488 / 카카오플러스친구 (ID : 코스알엑스)']",['./prdimgs/page_15_prd_15_thumb1.jpg']
40,[잡티토닉] 아이소이 불가리안 로즈 블레미쉬 케어 토닉 에센스 90ml,아이소이,"32,000","['내용물의 용량 또는 중량 90ml', '제품 주요 사양 모든 피부용(민감피부 사용가능)', '사용기한(또는 개봉 후 사용기간) 제조일자로부터 3년 개봉 후 6개월 사용권장', '사용방법 세안후 잡티토닉 에센스를 화장솜에 덜어 부드럽게 닦아내듯 발라주세요', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 다비드화장품/(주)자연인', '제조국 대한민국', '화장품법에 따라 기재해야 하는 모든 성분 정제수, 에탄올, 글리세린, 알부틴, 베타인, 밤껍질추출물, 흰버드나무껍질추출물, 병풀추출물, 다마스크장미꽃오일, 판테놀, 아사이팜열매추출물, 로우스위트블루베리추출물, 인디안구스베리열매추출물, 크랜베리추출물, 다마스크장미꽃수, 약모밀추출물, 붉나무충영추출물, 올리브나무잎추출물, 감국꽃추출물, 회화나무싹추출물, 꿀풀잎추출물, 포트마리골드꽃추출물, 부틸렌글라이콜, 1,2-헥산다이올, 황금추출물, 모란뿌리추출물, 스페인감초뿌리추출물, 시트로넬올, 제라니올 *아이소이에서 사용하는 에탄올은 식물발효성분입니다.', '기능성 화장품 식품의약품안전처 심사필 여부 화장품법에 따른 기능성 화장품 심사(또는 보고)를 필함', '사용할 때의 주의사항 ● 사용할 때의 주의사항', '', '가. 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우에는 전문의 등과 상담할 것 나. 상처가 있는 부위 등에는 사용을 자제할 것 다. 보관 및 취급 시 주의사항 1) 어린이의 손이 닿지 않는 곳에 보관할 것 2) 직사광선을 피해서 보관할 것 라. 동일 성분(알부틴 2% 이상)을 함유하는 제품의 「인체적용시험자료」에서 구진과 경미한 가려움이 보고된 예가 있음', '품질보증기준 관련법 및 소비자 분쟁해결 규정에 따름', '소비자상담 전화번호 아이소이 / 1800-9100']","['./prdimgs/page_15_prd_16_thumb1.jpg', './prdimgs/page_15_prd_16_thumb2.jpg']"
41,폴라초이스 리지스트 인텐시브 레티놀 세럼 30ml,폴라초이스,"64,000","['내용물의 용량 또는 중량 30ml', '제품 주요 사양 모든 피부', '사용기한(또는 개봉 후 사용기간) 24개월 / 12개월', '사용방법 1~2회 펌프하여 눈가를 포함한 얼굴과 목에 아침 저녁마다 바르세요.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 폴라스초이스코리아(유)', '제조국 미국', '화장품법에 따라 기재해야 하는 모든 성분 사이클로펜타실록세인, 다이메티콘올, 네오펜틸글라이콜다이헵타노에이트, 다이카프릴릴카보네이트, 카프릴릭/카프릭트라이글리세라이드, 페닐트라이메티콘, 스쿠알란, 비사보롤, 테트라헥실데실아스코베이트, 레티놀(0.112%), 토코트라이엔올, 토코페롤, 레시틴, 라미나리아 오크롤레우카추출물, 귀리커넬오일, 오일팜오일, 스테아릴글리시레티네이트, 헥실렌글라이콜, 카프릴릴글라이콜, 에틸헥실글리세린, 페녹시에탄올', '기능성 화장품 식품의약품안전처 심사필 여부 화장품법에 따른 기능성 화장품 심사(또는 보고)를 필함', '사용할 때의 주의사항 1. 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의 등과 상담할 것', '2. 상처가 있는 부위 등에는 사용을 자제할 것', '3. 보관 및 취급 시의 주의사항', '1) 어린이의 손이 닿지 않는 곳에 보관할 것', '2) 직사광선을 피해서 보관할 것', '품질보증기준 본 제품은 공정거래위원회 고시 소비자분쟁해결 기준에 의거 교환 또는 보상받을 수 있습니다', '소비자상담 전화번호 1661-6656']","['./prdimgs/page_15_prd_17_thumb1.jpg', './prdimgs/page_15_prd_17_thumb2.jpg', './prdimgs/page_15_prd_17_thumb3.jpg']"
42,AHC 하이드라 B5 바이옴앰플 30ml,AHC,"29,000","['내용물의 용량 또는 중량 30ml', '제품 주요 사양 모든 피부용', '사용기한(또는 개봉 후 사용기간) 개봉 전 3년 이내 / 개봉 후 1년 이내', '사용방법 아침, 저녁 토너 사용 후, 에센스 단계에서 스포이드 1~2회분의 내용물을 덜어 캡슐이 잘 깨지도록 얼굴 전체에 부드럽게 펴 발라 줍니다. 내용물이 완전히 흡수될 수 있도록 손바닥으로 얼굴을 감싸고 부드럽게 눌러주며 마무리해 줍니다.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 화장품제조업자: (주)한국콜마 / 화장품책임판매업자: (주)카버코리아', '제조국 대한민국', '화장품법에 따라 기재해야 하는 모든 성분 정제수, 메틸프로판다이올, 글리세린, 비피다발효용해물, 카프릴릭/카프릭트라이글리세라이드, 1,2-헥산다이올, 폴리글리세린-3, 아이소펜틸다이올, 나이아신아마이드, 사이클로헥사실록세인, 판테놀, 봉의꼬리추출물, 아티초크잎추출물, 귀리커넬추출물, 인도멀구슬나무잎추출물, 인도멀구슬나무꽃추출물, 아이비고드열매추출물, 가지열매추출물, 알로에베라꽃추출물, 흰버드나무껍질추출물, 오레가노잎추출물, 편백잎추출물, 홀리바질잎추출물, 울금뿌리추출물, 참산호말추출물, 황금추출물, 쇠비름추출물, 락토바실러스/콩발효추출물, 육계나무껍질추출물, 갈랑가갈랑갈추출물, 녹차수, 하이드로제네이티드레시틴, 소듐하이알루로네이트, 호호바씨오일, 쌀배아오일, 코코넛야자오일, 부틸렌글라이콜, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 다이메티콘/비닐다이메티콘크로스폴리머, 베타-글루칸, 트레할로오스, 라피노오스, 베타인, 아데노신, 구아검, 아가, 다이소듐이디티에이, 폴리쿼터늄-51, 카보머, 잔탄검, 수크로오스, 팔미토일펜타펩타이드-4, 프룩토올리고사카라이드, 자일리틸글루코사이드, 글라이코리피드, 안하이드로자일리톨, 자일리톨, 풀루란, 칸디다 봄비콜라/글루코오스/메틸레이프씨데이트발효물, 수크로오스다이스테아레이트, 글루코오스, 스테아레스-21, 리솔레시틴, 스테아레스-2, 아이소헥사데칸, 세틸알코올, 락토바실러스, 스테아릭애씨드, 프룩탄, 콜레스테롤, 세라마이드엔피, 이눌린, 토코페릴아세테이트, 페네틸알코올, 우유단백질, 락토오스, 비사보롤, 피이지-30다이폴리하이드록시스테아레이트, 향료, 에틸헥실글리세린, 펜틸렌글라이콜, 하이드록시아세토페논', '기능성 화장품 식품의약품안전처 심사필 여부 화장품법에 따른 기능성 화장품 심사(또는 보고)를 필함', '사용할 때의 주의사항 1. 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우에는 전문의 등과 상담할 것', '2. 상처가 있는 부위 등에는 사용을 자제할 것', '3. 보관 및 취급 시 주의사항 1) 어린이의 손이 닿지 않는 곳에 보관할 것 2) 직사광선을 피해서 보관할 것', '품질보증기준 본 상품에 이상이 있을 경우 공정거래위원회 고시 ‘소비자 분쟁해결기준’에 의하여 보상해 드립니다.', '소비자상담 전화번호 080-332-0855']",['./prdimgs/page_15_prd_18_thumb1.jpg']
43,[6중케어]다자연 어성초 케어 세럼 (본품55ml+1.5mlx10ea 추가 증정),다자연,"24,900","['내용물의 용량 또는 중량 55ML', '제품 주요 사양 모든 피부용', '사용기한(또는 개봉 후 사용기간) 제조일로부터 30개월/개봉후 6개월', '사용방법 세안 후 스킨 또는 토너로 피부 결을 정돈한 후에, 적당량을 덜어내어 피부 결을 따라 부드럽게 발라줍니다.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 (주)엘에스화장품 / (주)자연의벗', '제조국 대한민국', '화장품법에 따라 기재해야 하는 모든 성분 약모밀추출물 (어성초추출물) (50%), 정제수, 글리세린, 다이프로필렌글라이콜, 1,2-헥산다이올, 소듐하이알루로네이트, 녹차추출물, 미로탐누스 플라벨리폴리아잎추출물, 살비아잎추출물, 쇠비름추출물, 아사이팜열매추출물, 로우스위트블루베리추출물, 인디안구스베리열매추출물, 크랜베리추출물, 베타인, 트로메타민, 폴리글리세릴-10라우레이트, 프로판다이올, 에틸헥실글리세린, 부틸렌글라이콜, 알란토인, 다이소듐이디티에이, 다이포타슘글리시리제이트, 카보머, 센티드제라늄꽃오일', '기능성 화장품 식품의약품안전처 심사필 여부 해당사항 없음', '사용할 때의 주의사항 1. 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우에는 전문의 등과 상담할 것 2. 상처가 있는 부위 등에는 사용을 자제할 것 3. 보관 및 취급 시 주의사항 가. 어린이의 손이 닿지 않는 곳에 보관할 것 나. 직사광선을 피해서 보관할 것 *자연성분이 다량 함유된 제품으로 시간이 경과되면서 내용물이 변색될 수 있으나 품질에는 이상이 없으니 안심하고 사용하시기 바랍니다.', ""품질보증기준 본 제품에 이상이 있을 시에는 공정거래위원회 고시 '소비자분쟁해결기준'에 의해 보상해 드립니다."", '소비자상담 전화번호 (주)자연의벗 02)722-1400']","['./prdimgs/page_15_prd_19_thumb1.jpg', './prdimgs/page_15_prd_19_thumb2.jpg']"
44,달팡 인트랄 액티브 스태빌라이징 로션 100ml,달팡,"102,000","['내용물의 용량 또는 중량 100ml', '제품 주요 사양 모든피부타입', '사용기한(또는 개봉 후 사용기간) 제조일로부터 36개월', '사용방법 인트랄 액티브 스태빌라이징 로션은 세럼, 아로마, 아이 트리트먼트 후 아침과 저녁에 도포합니다. 이후 얼굴과 목에 가볍게 마사지하며 흡수시킵니다. 수분 크림 전에 가벼운 질감의 모이스처라이저 또는 밀키 로션으로서 단독 사용할 수 있습니다.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 엘코사스/이엘씨에이한국(유)', '제조국 영국', '화장품법에 따라 기재해야 하는 모든 성분 정제수,세테아릴아이소노나노에이트,프로판다이올,글리세릴올리에이트시트레이트,참깨오일,C9-12알케인,하이드록시프로필스타치포스페이트,글리세린,부틸렌글라이콜,해바라기씨오일,토코페릴아세테이트,레스베라트롤,판테놀,스위트아몬드오일,모노기나산사꽃추출물,카페인,소듐하이알루로네이트,다이포타슘글리시리제이트,해바라기씨추출물,테트라헥실데실아스코베이트,살리실릭애씨드,겔리디엘라 아케로사추출물,돌콩추출물,수박추출물,에스큘렌타렌즈콩추출물,코코넛야자오일,사과추출물,락토바실러스발효물,코르크참나무껍질추출물,모란뿌리추출물,오크뿌리추출물,아세틸글루코사민,호호바씨오일,카프릴릭/카프릭트라이글리세라이드,프로필렌글라이콜다이카프레이트,갈고리가시우무추출물,콜레스테롤,소듐스테아로일글루타메이트,프로필렌글라이콜카프릴레이트,코코-카프릴레이트/카프레이트,스쿠알란,에틸헥실글리세린,마트리카리아추출물,보리추출물,밀배아추출물,소듐락테이트,알테로모나스발효추출물,소듐피씨에이,오이열매추출물,슈가켈프추출물,잔탄검,카프릴릴글라이콜,헥실렌글라이콜,향료,테트라소듐이디티에이,비에이치티,포타슘솔베이트,소듐벤조에이트,페녹시에탄올,적색504호', '기능성 화장품 식품의약품안전처 심사필 여부 해당사항 없음', '사용할 때의 주의사항 1) 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점,', '부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의', '등과 상담할 것', '2) 상처가 있는 부위 등에는 사용을 자제할 것', '3) 보관 및 취급 시의 주의사항', '가) 어린이의 손이 닿지 않는 곳에 보관할 것', '나) 직사광선을 피해서 보관할 것', '품질보증기준 이엘씨에이한국(유)를 통해 공식 수입, 판매되는 제품에 한해서 상품에 이상이 있을 경우 공정거래위원회고시 품목별 소비자 분쟁해결 기준에 의거한 보상 및 제품관련 서비스를 받으실 수 있습니다.', '소비자상담 전화번호 02-6971-3290']",['./prdimgs/page_15_prd_20_thumb1.jpg']
45,[코어탄력크림] 아이소이 불가리안 로즈 인텐시브 에너자이징 크림EX 30ml,아이소이,"43,000","['내용물의 용량 또는 중량 30ml', '제품 주요 사양 모든피부용(민감피부 사용 가능)', '사용기한(또는 개봉 후 사용기간) 제조일자로부터 3년 / 개봉 후 6개월 사용권장', '사용방법 기초 스킨케어 후, 크림 사용 단계에서 적당량을 덜어 얼굴과 목에 부드럽게 흡수시켜주세요.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 다비드화장품/(주)자연인', '제조국 대한민국', '화장품법에 따라 기재해야 하는 모든 성분 정제수, 글리세린, 마카다미아씨오일, 스쿠알란, 카프릴릭/카프릭트라이글리세라이드, 펜타에리스리틸테트라아이소스테아레이트, 세틸에틸헥사노에이트, 트레할로오스, 베타인, 글리세릴스테아레이트, 세테아릴알코올, 알부틴, 스테아릭애씨드, 아라키딜알코올, 메도우폼씨오일, 솔비탄스테아레이트, 다마스크장미꽃오일, 시어버터, 호호바씨오일, 올리브오일, 베헤닐알코올, 아라키딜글루코사이드, 다마스크장미꽃수, 세라마이드엔피, 아데노신, 잔탄검, 알란토인, 팔미토일트라이펩타이드-5, 참마뿌리추출물, 밤껍질추출물, 아세로라추출물, 몰로키아잎추출물, 브로콜리추출물, 로즈마리추출물, 니아울리나무잎오일, 마트리카리아꽃/잎추출물, 병풀추출물, 락토바실러스/콩발효추출물, 흰목이버섯추출물, 황련뿌리추출물, 부틸렌글라이콜, 1,2-헥산다이올, 스페인감초뿌리추출물, 황금추출물, 모란뿌리추출물, 시트로넬올, 제라니올, 파네솔, 유제놀, 리날룰', '기능성 화장품 식품의약품안전처 심사필 여부 화장품법에 따른 기능성 화장품 심사(또는 보고)를 필함', '사용할 때의 주의사항 가. 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우에는 전문의 등과 상담할 것.', '나. 상처가 있는 부위 등에는 사용을 자제할 것.', '다. 보관 및 취급 시 주의사항', '1) 어린이의 손이 닿지 않는 곳에 보관할 것.', '2) 직사광선을 피해서 보관할 것.', '라. 동일 성분(알부틴 2%이상)을 함유하는 제품의 「인체적용시험자료」에서 구진과 경미한 가려움이 보고된 예가 있음.', '품질보증기준 관련법 및 소비자 분쟁해결 규정에 따름', '소비자상담 전화번호 아이소이 / 1800-9100']","['./prdimgs/page_15_prd_21_thumb1.jpg', './prdimgs/page_15_prd_21_thumb2.jpg', './prdimgs/page_15_prd_21_thumb3.jpg']"
46,AHC 에이치 멜라루트 앰플 스페셜 기획 (앰플10ml*2+크림20ml+앰플4.5ml 증정),AHC,"33,000","['내용물의 용량 또는 중량 본품: 기미 앰플 10ml*2ea / 증정품: 기미 크림10ml*2ea+기미 앰플1.5ml*3ea', '제품 주요 사양 모든 피부용', '사용기한(또는 개봉 후 사용기간) 개봉 전 3년 이내 / 개봉 후 1년 이내', '사용방법 아침, 저녁 앰플 사용 단계에서 적당량을 취하여 피부에 부드럽게 펴 발라 흡수시켜줍니다.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 화장품제조업자: (주)한국콜마 / 화장품책임판매업자: (주)카버코리아', '제조국 대한민국', '화장품법에 따라 기재해야 하는 모든 성분 참당귀뿌리추출물, 글리세린, 나이아신아마이드, 카프릴릭/카프릭트라이글리세라이드, 비피다발효용해물, 하이드로제네이티드레시틴, 정제수, 트라넥사믹애씨드, 병풀추출물, 무화과추출물, 다시마추출물, 한련초잎추출물, 모나스커스추출물, 사과추출물, 토마토추출물, 녹차수, 올리브오일, 해바라기씨오일, 호호바씨오일, 녹차씨오일, 아르간커넬오일, 동백나무씨오일, 퀸즈랜드넛오일, 분비나무오일, 로즈마리잎오일, 소듐하이알루로네이트, 클레리오일, 센티드제라늄꽃오일, 클로브잎오일, 캐모마일꽃오일, 광곽향오일, 마트리카리아꽃오일, 멕시칸주니퍼오일, 부틸렌글라이콜, 알파-비사보롤, 폴리아크릴레이트-13, 하이드로제네이티드폴리아이소부텐, 메틸프로판다이올, 아데노신, 프룩토올리고사카라이드, 폴리글리세릴-10라우레이트, 에틸헥실팔미테이트, 베타-글루칸, 카보머, 솔비탄아이소스테아레이트, 칸디다 봄비콜라/글루코오스/메틸레이프씨데이트발효물, 하이드롤라이즈드하이알루로닉애씨드, 세라마이드엔피, 프로판다이올, 아세틱애씨드, 팔미토일트라이펩타이드-5, 글루타티온, 글라이코리피드, 록샘파이어캘러스배양여과물, 락틱애씨드, 팔미토일펜타펩타이드-4, 스쿠알란, 하이드록시스테아릭애씨드, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 소듐하이알루로네이트크로스폴리머, 풀러린, 1,2-헥산다이올, 펜틸렌글라이콜, 포타슘솔베이트, 에틸헥실글리세린', '기능성 화장품 식품의약품안전처 심사필 여부 화장품법에 따른 기능성 화장품 심사(또는 보고)를 필함', '사용할 때의 주의사항 1. 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우에는 전문의 등과 상담할 것', '2. 상처가 있는 부위 등에는 사용을 자제할 것', '3. 보관 및 취급 시 주의사항 1) 어린이의 손이 닿지 않는 곳에 보관할 것 2) 직사광선을 피해서 보관할 것', '품질보증기준 본 상품에 이상이 있을 경우 공정거래위원회 고시 ‘소비자 분쟁해결기준’에 의하여 보상해 드립니다.', '소비자상담 전화번호 080-332-0855']","['./prdimgs/page_15_prd_22_thumb1.jpg', './prdimgs/page_15_prd_22_thumb2.jpg', './prdimgs/page_15_prd_22_thumb3.jpg']"
